state,county,candidate,party,votes
Indiana,Pike County,Donald Rainwater,LIB,850
Indiana,Porter County,Eric Holcomb,REP,45892
Indiana,Porter County,Woody Myers,DEM,33291
Indiana,Porter County,Donald Rainwater,LIB,7125
Indiana,Posey County,Eric Holcomb,REP,9644
Indiana,Posey County,Woody Myers,DEM,2768
Indiana,Posey County,Donald Rainwater,LIB,809
Indiana,Pulaski County,Eric Holcomb,REP,3874
Indiana,Pulaski County,Woody Myers,DEM,1019
Indiana,Pulaski County,Donald Rainwater,LIB,875
Indiana,Putnam County,Eric Holcomb,REP,9375
Indiana,Putnam County,Donald Rainwater,LIB,4269
Indiana,Putnam County,Woody Myers,DEM,2876
Indiana,Randolph County,Eric Holcomb,REP,7399
Indiana,Randolph County,Woody Myers,DEM,1862
Indiana,Randolph County,Donald Rainwater,LIB,1732
Indiana,Ripley County,Eric Holcomb,REP,9518
Indiana,Ripley County,Donald Rainwater,LIB,2458
Indiana,Ripley County,Woody Myers,DEM,2231
Indiana,Rush County,Eric Holcomb,REP,4949
Indiana,Rush County,Donald Rainwater,LIB,1716
Indiana,Rush County,Woody Myers,DEM,1215
Indiana,St. Joseph County,Eric Holcomb,REP,60683
Indiana,St. Joseph County,Woody Myers,DEM,48587
Indiana,St. Joseph County,Donald Rainwater,LIB,5386
Indiana,Scott County,Eric Holcomb,REP,6062
Indiana,Scott County,Woody Myers,DEM,2295
Indiana,Scott County,Donald Rainwater,LIB,1613
Indiana,Shelby County,Eric Holcomb,REP,12269
Indiana,Shelby County,Donald Rainwater,LIB,4099
Indiana,Shelby County,Woody Myers,DEM,3499
Indiana,Spencer County,Eric Holcomb,REP,7270
Indiana,Spencer County,Woody Myers,DEM,2455
Indiana,Spencer County,Donald Rainwater,LIB,926
Indiana,Starke County,Eric Holcomb,REP,6730
Indiana,Starke County,Woody Myers,DEM,2026
Indiana,Starke County,Donald Rainwater,LIB,1427
Indiana,Steuben County,Eric Holcomb,REP,11401
Indiana,Steuben County,Woody Myers,DEM,2936
Indiana,Steuben County,Donald Rainwater,LIB,1739
Indiana,Sullivan County,Eric Holcomb,REP,6006
Indiana,Sullivan County,Woody Myers,DEM,1550
Indiana,Sullivan County,Donald Rainwater,LIB,1356
Indiana,Switzerland County,Eric Holcomb,REP,2846
Indiana,Switzerland County,Woody Myers,DEM,822
Indiana,Switzerland County,Donald Rainwater,LIB,412
Indiana,Tippecanoe County,Eric Holcomb,REP,37964
Indiana,Tippecanoe County,Woody Myers,DEM,26161
Indiana,Tippecanoe County,Donald Rainwater,LIB,7055
Indiana,Tipton County,Eric Holcomb,REP,5169
Indiana,Tipton County,Donald Rainwater,LIB,1707
Indiana,Tipton County,Woody Myers,DEM,1200
